ϵf,a_fm,r_fm,a⁻¹,r,N
0.001,-7.314577469663309,-0.9210624662773887 + 0.16336291052111834im,-0.026977222022515946 + 0.0013788898349103235im,-4.667696553255466 + 0.827879239777382im,0.007022456305123974 + 0.0005901737494814374im
0.002,-7.314900778397188,-0.8750553829701246 + 0.2077817700480678im,-0.026976029665741752 + 0.001378695425217496im,-4.434545043948408 + 1.0529820586463898im,0.007022771423025033 + 0.0005901649083577625im
0.003,-7.315067161566869,-0.859676685774427 + 0.22366890035786346im,-0.026975416088692895 + 0.0013786859515461391im,-4.356609947771881 + 1.1334937569331167im,0.007022930537363659 + 0.0005901839126185225im
0.005,-7.315248224154041,-0.8446684791008073 + 0.2369422957333272im,-0.0269747484095551 + 0.0013785534772126358im,-4.280552397794698 + 1.2007597504052578im,0.007023107955515684 + 0.0005901725455150441im
0.007,-7.315349455597627,-0.8366083430144922 + 0.2422079941028676im,-0.026974375126947288 + 0.0013784674055720763im,-4.239705798561403 + 1.2274448917826122im,0.007023207608865238 + 0.0005901631244670349im
0.01,-7.315517835478659,-0.8283484772579754 + 0.2490547220533312im,-0.026973754262891322 + 0.001378366851775606im,-4.197847023143194 + 1.2621422653327705im,0.0070233726469510855 + 0.0005901579490638219im
0.02,-7.315891852935653,-0.8121693311581287 + 0.25852207189536724im,-0.026972375257408768 + 0.001377883451004246im,-4.115855467467179 + 1.3101202449422737im,0.0070237489276354535 + 0.0005900764691749507im
0.05,-7.316771489176886,-0.7872236112931664 + 0.2710076231852251im,-0.026969132586946304 + 0.0013766461199648356im,-3.989437276632884 + 1.373393656741048im,0.007024642615876495 + 0.0005898514688968072im
0.1,-7.318144031078483,-0.7604698875881173 + 0.28281838341305726im,-0.02696407443772594 + 0.0013745673665294805im,-3.853856609200499 + 1.433247409146779im,0.007026052735394224 + 0.0005894441253398126im
0.2,-7.320806049883735,-0.7232801482335156 + 0.2984045647470516im,-0.026954269660392632 + 0.0013705415259726902im,-3.6653890246906937 + 1.5122339790643835im,0.007028812451765869 + 0.00058861235216023im
0.5,-7.328466675719089,-0.6496569713172997 + 0.32580662959307133im,-0.026926093701672968 + 0.0013584377545046136im,-3.2922865894992417 + 1.6511002648124005im,0.007036887166601925 + 0.0005858378722560845im
1.0,-7.340460422249145,-0.5665783008807902 + 0.350416989988729im,-0.0268820985400175 + 0.001337884684369834im,-2.8712662593441793 + 1.7758189441626353im,0.007049772024452078 + 0.000580480467130882im
2.0,-7.361596662236934,-0.4531685204963877 + 0.37226038852065557im,-0.026804916032989935 + 0.001295597667770315im,-2.2965360316048686 + 1.8865154058813924im,0.00707295421613585 + 0.0005678840756410267im
